,Unnamed: 0,fzf,Unnamed: 0.1,fzr,Unnamed: 0.2,steer_angle,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,Unnamed: 0.6,vx,Unnamed: 0.7,vy,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
76,fzf77,5246.74080104621,fzr77,4575.93057987656,ans77,-0.1,r77,-0.0277933744565045,psi77,-0.0126680112784043,wheel_angle77,-0.0074074074074074,xdot77,14.0,ydot77,0.0782302722029128,0.01021450052981662,0.002410575356795712,-90.03596564272296,16.987163254997856,-90.03126868635731,16.987113899892925,0.005587818427713031
77,fzf78,5246.73344091867,fzr78,4575.93795759197,ans78,-0.1,r78,-0.027986783254183,psi78,-0.0129469141932259,wheel_angle78,-0.0074074074074074,xdot78,14.0,ydot78,0.0799501831830604,0.010317844700759714,0.0025112027254228244,-90.94676779386488,17.69630612052489,-90.94192683497985,17.69625032286999,0.005710665291244716
78,fzf79,5246.72603038892,fzr79,4575.94538608345,ans79,-0.1,r79,-0.0281776631304763,psi79,-0.0132277385138612,wheel_angle79,-0.0074074074074074,xdot79,14.0,ydot79,0.0816692799167033,0.010421371066851247,0.0026120506736844245,-91.85917246596786,18.40700589183211,-91.85418432955221,18.40694309812764,0.00583345382392598
79,fzf80,5246.71857171742,fzr80,4575.95286308636,ans80,-0.1,r80,-0.0283660586574508,psi80,-0.0135104591747796,wheel_angle80,-0.0074074074074074,xdot80,14.0,ydot80,0.083387223055258,0.01052505048348336,0.0027130894401644766,-92.77292277112534,19.119052862956206,-92.76778428001553,19.11898249671803,0.005956159783977305
80,fzf81,5246.71106712754,fzr81,4575.96038637294,ans81,-0.1,r81,-0.028552013431694,psi81,-0.0137950515512737,wheel_angle81,-0.0074074074074074,xdot81,14.0,ydot81,0.0851036849052546,0.0106288547443082,0.002814290213412447,-93.68777009399287,19.832244019791904,-93.68247807051985,19.832165481882612,0.0060787597622500465
81,fzf82,5246.70351880529,fzr82,4575.96795375264,ans82,-0.1,r82,-0.0287355700979627,psi82,-0.0140814914498235,wheel_angle82,-0.0074074074074074,xdot82,14.0,ydot82,0.0868183491071124,0.010732756556617887,0.002915625107019828,-94.60347387470718,20.54638286451419,-94.59802514233604,20.54629553351362,0.006201231159283459
82,fzf83,5246.69592889902,fzr83,4575.97556307244,ans83,-0.1,r83,-0.0289167703722362,psi83,-0.0143697550986938,wheel_angle83,-0.0074074074074074,xdot83,14.0,ydot83,0.0885309103222612,0.010836729517337253,0.003017067135320695,-95.51980139720456,21.26127924439977,-95.51419278216474,21.261182477012618,0.006323552162957554
83,fzf84,5246.68829951923,fzr84,4575.98321221699,ans84,-0.1,r84,-0.0290956550641908,psi84,-0.0146598191387589,wheel_angle84,-0.0074074074074074,xdot84,14.0,ydot84,0.0902410739283947,0.010940748089612708,0.0031185901896991406,-96.43652758279404,21.97674918492571,-96.43075591569725,21.97664231642396,0.006445701726726579
84,fzf85,5246.68063273845,fzr85,4575.99089910878,ans85,-0.1,r85,-0.0292722640991094,psi85,-0.0149516606145501,wheel_angle85,-0.0074074074074074,xdot85,14.0,ydot85,0.0919485557226471,0.011044787579981287,0.0032201690154871894,-97.35343478884462,22.692614727030644,-97.34749690628828,22.692497071728724,0.006567659548418158
85,fzf86,5246.67293059115,fzr86,4575.99862170826,ans86,-0.1,r86,-0.0294466365392411,psi86,-0.0152452569655188,wheel_angle86,-0.0074074074074074,xdot86,14.0,ydot86,0.0936530816324903,0.011148824116104426,0.0033217791894373113,-98.27031261245,23.408703768425845,-98.26420535860407,23.40857462018626,0.006689406049583697
86,fzf87,5246.66519507374,fzr87,4576.00637801382,ans87,-0.1,r87,-0.0296188106046245,psi87,-0.0155405860175106,wheel_angle87,-0.0074074074074074,xdot87,14.0,ydot87,0.095354387434154,0.011252834625051555,0.0034233970977541883,-99.18695769894013,24.124849908847633,-99.18067792711489,24.124708541614957,0.0068109223553858705
87,fzf88,5246.65742814454,fzr88,4576.01416606179,ans88,-0.1,r88,-0.029788823693388,psi88,-0.0158376259744451,wheel_angle88,-0.0074074074074074,xdot88,14.0,ydot88,0.0970522184783759,0.011356796812119142,0.003524999914670954,-100.10317355511165,24.840892299147363,-100.09671812930465,24.840737967508453,0.0069321902750094895
